label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pos-mix-01
,211,211,1,59.073650,8.830,0.798859,,59.073650@8.830466,59.073650@8.830466,,0.000,0.000000,59.073650,73397.52
,212,212,1,80.953644,16.034,0.852543,,80.953644@16.034451,80.953644@16.034451,,0.000,0.000000,80.953644,211046.38
,213,213,1,103.133835,8.733,0.852383,,103.133835@8.732767,103.133835@8.732767,,0.000,0.000000,103.133835,166173.98
,214,214,1,115.069359,7.454,0.851399,,115.069359@7.453683,115.069359@7.453683,,0.000,0.000000,115.069359,226080.12
,215,215,1,97.075890,6.016,0.513816,,97.075890@6.016117,97.075890@6.016117,,0.000,0.000000,97.075890,135743.92
,216,216,1,55.054180,8.400,0.852220,,55.054180@8.400117,55.054180@8.400117,,0.000,0.000000,55.054180,198833.23
,217,217,1,104.133949,14.584,0.849392,,104.133949@14.584117,104.133949@14.584117,,0.000,0.000000,104.133949,166399.47
,218,218,1,100.107590,8.355,0.816485,,100.107590@8.354583,100.107590@8.354583,,0.000,0.000000,100.107590,130246.48
,219,219,1,104.065933,13.377,0.852434,,104.065933@13.377467,104.065933@13.377467,,0.000,0.000000,104.065933,185040.36
,220,220,1,104.133949,14.584,0.849270,,104.133949@14.584117,104.133949@14.584117,,0.000,0.000000,104.133949,166399.47
,221,221,1,105.995468,16.102,0.837263,,105.995468@16.101534,105.995468@16.101534,,0.000,0.000000,105.995468,212574.25
,222,222,1,60.036903,19.887,0.606277,,60.036903@19.887167,60.036903@19.887167,,0.000,0.000000,60.036903,148895.06
,223,223,1,60.036968,19.593,0.529921,,60.036968@19.593332,60.036968@19.593332,,0.000,0.000000,60.036968,70739.04
,224,224,1,59.055504,10.500,0.569234,,59.055504@10.499734,59.055504@10.499734,,0.000,0.000000,59.055504,208299.33
,225,225,1,116.010551,13.892,0.641628,,116.010551@13.891567,116.010551@13.891567,,0.000,0.000000,116.010551,145029.42
,226,226,1,59.083439,10.209,0.530230,,59.083439@10.208967,59.083439@10.208967,,0.000,0.000000,59.083439,120976.24
,227,227,1,68.049377,13.352,0.827986,,68.049377@13.352367,68.049377@13.352367,,0.000,0.000000,68.049377,201912.00
,228,228,1,60.020164,19.835,0.639764,,60.020164@19.834665,60.020164@19.834665,,0.000,0.000000,60.020164,65091.59
,229,229,1,59.055939,12.753,0.717526,,59.055939@12.753316,59.055939@12.753316,,0.000,0.000000,59.055939,141134.52
,230,230,1,60.068119,19.748,0.705449,,60.068119@19.747999,60.068119@19.747999,,0.000,0.000000,60.068119,119220.91
,231,231,1,103.050079,12.705,0.852437,,103.050079@12.704550,103.050079@12.704550,,0.000,0.000000,103.050079,157617.98
,232,232,1,105.069687,2.611,0.769997,,105.069687@2.610633,105.069687@2.610633,,0.000,0.000000,105.069687,180515.14
,233,233,1,104.051590,14.693,0.845895,,104.051590@14.693000,104.051590@14.693000,,0.000,0.000000,104.051590,117928.56
,234,234,1,59.072956,10.323,0.667998,,59.072956@10.322984,59.072956@10.322984,,0.000,0.000000,59.072956,125450.60
,235,235,1,97.039474,4.060,0.821934,,97.039474@4.059700,97.039474@4.059700,,0.000,0.000000,97.039474,126003.94
,236,236,1,60.046169,9.212,0.679690,,60.046169@9.212184,60.046169@9.212184,,0.000,0.000000,60.046169,125574.98
,237,237,1,104.123924,14.531,0.763540,,104.123924@14.530984,104.123924@14.530984,,0.000,0.000000,104.123924,60669.84
,238,238,1,74.099014,8.946,0.852343,,74.099014@8.945817,74.099014@8.945817,,0.000,0.000000,74.099014,154024.27
,239,239,1,114.127594,9.761,0.851723,,114.127594@9.760817,114.127594@9.760817,,0.000,0.000000,114.127594,180103.23
,240,240,1,60.037746,19.905,0.721467,,60.037746@19.904667,60.037746@19.904667,,0.000,0.000000,60.037746,159027.16
,241,241,1,85.028297,13.096,0.851726,,85.028297@13.096300,85.028297@13.096300,,0.000,0.000000,85.028297,151707.67
,242,242,1,60.045403,7.043,0.643247,,60.045403@7.042684,60.045403@7.042684,,0.000,0.000000,60.045403,430940.47
,243,243,1,59.062862,14.806,0.605230,,59.062862@14.806266,59.062862@14.806266,,0.000,0.000000,59.062862,316351.38
,244,244,1,105.110222,11.461,0.852429,,105.110222@11.461184,105.110222@11.461184,,0.000,0.000000,105.110222,149496.45
,245,245,1,60.041107,16.705,0.537528,,60.041107@16.704832,60.041107@16.704832,,0.000,0.000000,60.041107,92834.06
,246,246,1,59.066185,11.953,0.674891,,59.066185@11.952749,59.066185@11.952749,,0.000,0.000000,59.066185,106934.81
,247,247,1,106.077156,13.377,0.851015,,106.077156@13.377467,106.077156@13.377467,,0.000,0.000000,106.077156,142173.92
,248,248,1,98.000153,15.927,0.851512,,98.000153@15.927200,98.000153@15.927200,,0.000,0.000000,98.000153,136767.77
,249,249,1,115.122795,8.123,0.695761,,115.122795@8.123266,115.122795@8.123266,,0.000,0.000000,115.122795,139001.58
,250,250,1,84.080635,17.543,0.599971,,84.080635@17.542999,84.080635@17.542999,,0.000,0.000000,84.080635,103080.90
,251,251,1,106.074707,13.365,0.850373,,106.074707@13.364917,106.074707@13.364917,,0.000,0.000000,106.074707,138721.12
,252,252,1,65.019035,16.127,0.851940,,65.019035@16.127399,65.019035@16.127399,,0.000,0.000000,65.019035,147190.23
,253,253,1,107.048996,9.307,0.851943,,107.048996@9.306733,107.048996@9.306733,,0.000,0.000000,107.048996,116588.72
,254,254,1,76.072609,12.459,0.840658,,76.072609@12.459451,76.072609@12.459451,,0.000,0.000000,76.072609,69778.12
,255,255,1,59.036831,9.704,0.698885,,59.036831@9.704433,59.036831@9.704433,,0.000,0.000000,59.036831,77158.76
,256,256,1,60.049534,19.905,0.671816,,60.049534@19.904667,60.049534@19.904667,,0.000,0.000000,60.049534,149157.23
,257,257,1,105.067627,13.365,0.851228,,105.067627@13.364917,105.067627@13.364917,,0.000,0.000000,105.067627,147404.47
,258,258,1,104.161865,14.821,0.816399,,104.161865@14.820734,104.161865@14.820734,,0.000,0.000000,104.161865,88948.88
,259,259,1,59.077229,10.366,0.845329,,59.077229@10.366366,59.077229@10.366366,,0.000,0.000000,59.077229,92043.62
,260,260,1,59.077564,8.960,0.837623,,59.077564@8.960450,59.077564@8.960450,,0.000,0.000000,59.077564,75425.07
,261,261,1,59.077492,9.555,0.812105,,59.077492@9.555483,59.077492@9.555483,,0.000,0.000000,59.077492,78952.90
,262,262,1,59.077805,9.869,0.532913,,59.077805@9.869300,59.077805@9.869300,,0.000,0.000000,59.077805,44306.48
,263,263,1,112.050369,7.996,0.851310,,112.050369@7.995800,112.050369@7.995800,,0.000,0.000000,112.050369,131581.30
,264,264,1,84.088776,9.581,0.851253,,84.088776@9.581467,84.088776@9.581467,,0.000,0.000000,84.088776,123207.84
,265,265,1,101.108322,9.594,0.851355,,101.108322@9.594500,101.108322@9.594500,,0.000,0.000000,101.108322,123270.97
,266,266,1,101.107178,9.388,0.839458,,101.107178@9.387733,101.107178@9.387733,,0.000,0.000000,101.107178,63741.17
,267,267,1,59.072720,10.323,0.582806,,59.072720@10.322984,59.072720@10.322984,,0.000,0.000000,59.072720,119392.32
,268,268,1,72.044327,13.210,0.851939,,72.044327@13.210184,72.044327@13.210184,,0.000,0.000000,72.044327,110485.10
,269,269,1,76.075584,16.578,0.692711,,76.075584@16.578182,76.075584@16.578182,,0.000,0.000000,76.075584,89660.76
,270,270,1,104.087372,14.557,0.841577,,104.087372@14.557450,104.087372@14.557450,,0.000,0.000000,104.087372,115001.65
,271,271,1,104.087624,14.806,0.554359,,104.087624@14.806266,104.087624@14.806266,,0.000,0.000000,104.087624,92336.71
,272,272,1,59.053329,11.790,0.649878,,59.053329@11.789816,59.053329@11.789816,,0.000,0.000000,59.053329,97508.46
,273,273,1,59.053577,11.566,0.659310,,59.053577@11.566417,59.053577@11.566417,,0.000,0.000000,59.053577,66913.45
,274,274,1,59.052597,8.917,0.617794,,59.052597@8.916651,59.052597@8.916651,,0.000,0.000000,59.052597,81453.45
,275,275,1,59.050964,9.276,0.648519,,59.050964@9.276183,59.050964@9.276183,,0.000,0.000000,59.050964,59653.96
,276,276,1,104.087624,14.806,0.555558,,104.087624@14.806266,104.087624@14.806266,,0.000,0.000000,104.087624,92336.71
,277,277,1,59.068634,7.793,0.550358,,59.068634@7.792650,59.068634@7.792650,,0.000,0.000000,59.068634,62975.47
,278,278,1,59.068111,8.506,0.546213,,59.068111@8.505900,59.068111@8.505900,,0.000,0.000000,59.068111,48365.82
,279,279,1,96.044220,4.060,0.811453,,96.044220@4.059700,96.044220@4.059700,,0.000,0.000000,96.044220,97265.63
,280,280,1,86.059898,15.765,0.701512,,86.059898@15.765217,86.059898@15.765217,,0.000,0.000000,86.059898,121321.49
,281,281,1,116.081657,16.263,0.851695,,116.081657@16.262934,116.081657@16.262934,,0.000,0.000000,116.081657,118290.54
,282,282,1,59.065697,11.566,0.541767,,59.065697@11.566417,59.065697@11.566417,,0.000,0.000000,59.065697,72450.41
,283,283,1,81.033371,13.683,0.852115,,81.033371@13.682883,81.033371@13.682883,,0.000,0.000000,81.033371,113301.04
,284,284,1,75.055161,4.259,0.589801,,75.055161@4.259000,75.055161@4.259000,,0.000,0.000000,75.055161,104308.90
,285,285,1,108.080597,2.820,0.815868,,108.080597@2.820217,108.080597@2.820217,,0.000,0.000000,108.080597,97361.23
,286,286,1,55.054188,10.837,0.740640,,55.054188@10.836884,55.054188@10.836884,,0.000,0.000000,55.054188,100698.94
,287,287,1,75.043938,3.038,0.735486,,75.043938@3.037517,75.043938@3.037517,,0.000,0.000000,75.043938,100915.59
,288,288,1,59.043613,9.530,0.843973,,59.043613@9.529616,59.043613@9.529616,,0.000,0.000000,59.043613,66608.06
,289,289,1,59.043510,10.251,0.826074,,59.043510@10.251316,59.043510@10.251316,,0.000,0.000000,59.043510,83059.54
,290,290,1,59.043354,9.761,0.577053,,59.043354@9.760817,59.043354@9.760817,,0.000,0.000000,59.043354,68775.80
,291,291,1,90.094528,14.835,0.845724,,90.094528@14.835184,90.094528@14.835184,,0.000,0.000000,90.094528,119797.16
,292,292,1,71.060249,4.046,0.755940,,71.060249@4.046367,71.060249@4.046367,,0.000,0.000000,71.060249,88166.70
,293,293,1,115.086441,12.737,0.563450,,115.086441@12.737033,115.086441@12.737033,,0.000,0.000000,115.086441,78135.06
,294,294,1,110.059891,4.046,0.804570,,110.059891@4.046367,110.059891@4.046367,,0.000,0.000000,110.059891,92429.23
,295,295,1,59.057446,17.492,0.749372,,59.057446@17.492001,59.057446@17.492001,,0.000,0.000000,59.057446,465264.91
,296,296,1,104.123825,14.531,0.759905,,104.123825@14.530984,104.123825@14.530984,,0.000,0.000000,104.123825,60669.84
,297,297,1,59.071354,12.335,0.538486,,59.071354@12.335051,59.071354@12.335051,,0.000,0.000000,59.071354,40175.02
,298,298,1,59.054142,9.704,0.709760,,59.054142@9.704433,59.054142@9.704433,,0.000,0.000000,59.054142,115273.51
